FOR GEOCODING,Latitude,Longitude,Station
"Shimla, Himachal Pradesh",31.1048145,77.1734033,Manual
"Shimla, Himachal Pradesh",31.1048145,77.1734033,Manual
"Sunder Nagar, Himachal Pradesh",31.5299004,76.888941,Manual
"Sunder Nagar, Himachal Pradesh",31.5299004,76.888941,Manual
"Una, Himachal Pradesh",31.4684649,76.2708152,Manual
"Una, Himachal Pradesh",31.4684649,76.2708152,Manual
"Vashisht, Himachal Pradesh",32.2810061,77.2290193,Manual
"Anantnag , Jammu & Kashmir",33.7311255,75.1487007,Manual
"Bandipora , Jammu & Kashmir",34.5052269,74.6868815,Manual
"Baramulla , Jammu & Kashmir",34.1990498,74.3499496,Manual
"Baramulla , Jammu & Kashmir",34.1990498,74.3499496,Manual
"Budgam , Jammu & Kashmir",33.9348549,74.6400432,Manual
"Doda , Jammu & Kashmir",33.1457497,75.5480491,Manual
"Ganderbal , Jammu & Kashmir",34.2164955,74.7719431,Manual
"Jammu, Jammu & Kashmir",32.7266016,74.8570259,Manual
"Jammu, Jammu & Kashmir",32.7266016,74.8570259,Manual
"Jammu, Jammu & Kashmir",32.7266016,74.8570259,Manual
"Jammu, Jammu & Kashmir",32.7266016,74.8570259,Manual
"Jammu, Jammu & Kashmir",32.7266016,74.8570259,Manual
"Jammu, Jammu & Kashmir",32.7266016,74.8570259,Manual
"Khathua , Jammu & Kashmir",32.3863082,75.5173465,Manual
"Khathua , Jammu & Kashmir",32.3863082,75.5173465,Manual
"Kulgam , Jammu & Kashmir",33.6449908,75.018031,Manual
"Poonch , Jammu & Kashmir",33.7670014,74.0924041,Manual
"Pulwama , Jammu & Kashmir",33.8716117,74.8945692,Manual
"Pulwama , Jammu & Kashmir",33.8716117,74.8945692,Manual
"Rajouri, Jammu & Kashmir",33.3716143,74.315191,Manual
"Rajouri, Jammu & Kashmir",33.3716143,74.315191,Manual
"Ramban , Jammu & Kashmir",33.2463875,75.1938909,Manual
"Reasi , Jammu & Kashmir",33.0803564,74.8364413,Manual
"Samba , Jammu & Kashmir",32.5530092,75.1107527,Manual
"Shopian , Jammu & Kashmir",33.7170033,74.8360918,Manual
"Srinagar , Jammu & Kashmir",34.0836708,74.7972825,Manual
"Srinagar , Jammu & Kashmir",34.0836708,74.7972825,Manual
"Srinagar , Jammu & Kashmir",34.0836708,74.7972825,Manual
"Srinagar , Jammu & Kashmir",34.0836708,74.7972825,Manual
"Srinagar , Jammu & Kashmir",34.0836708,74.7972825,Manual
"Udhampur , Jammu & Kashmir",32.9159847,75.1416173,Manual
"Barajamda, Jharkhand",22.1650471,85.4277925,Manual
"Dhanbad, Jharkhand",23.7956531,86.4303859,Manual
"Dhanbad, Jharkhand",23.7956531,86.4303859,Manual
"Dhanbad, Jharkhand",23.7956531,86.4303859,Manual
"Jamshedpur, Jharkhand",22.8045665,86.2028754,Manual
"Jamshedpur, Jharkhand",22.8045665,86.2028754,Manual
"Jharia, Jharkhand",23.742628,86.4111374,Manual
"Ranchi, Jharkhand",23.3440997,85.309562,Manual
"Saraikela, Jharkhand",22.7023346,85.9278993,Manual
"Sindri, Jharkhand",23.7483096,86.7058637,Manual
"Bagalkote, Karnataka",16.1691096,75.6615029,Manual
"Bangalore, Karnataka",12.9715987,77.5945627,Manual
"Bangalore, Karnataka",12.9715987,77.5945627,Manual
"Bangalore, Karnataka",12.9715987,77.5945627,Manual
"Bangalore, Karnataka",12.9715987,77.5945627,Manual
"Bangalore, Karnataka",12.9715987,77.5945627,Manual
"Bangalore, Karnataka",12.9715987,77.5945627,Manual
"Bangalore, Karnataka",12.9715987,77.5945627,Manual
"Bangalore, Karnataka",12.9715987,77.5945627,Manual
"Bangalore, Karnataka",12.9715987,77.5945627,Manual
"Belgaum, Karnataka",15.8496953,74.4976741,Manual
"Bidar, Karnataka",17.9103939,77.5199079,Manual
"Bijapur , Karnataka",16.8301708,75.710031,Manual
"Chitradurga, Karnataka",14.2250932,76.3980464,Manual
"Devanagere, Karnataka",14.4644085,75.921758,Manual
"Devanagere, Karnataka",14.4644085,75.921758,Manual
"Devanagere, Karnataka",14.4644085,75.921758,Manual
"Gulbarga , Karnataka",17.329731,76.8342957,Manual
"Hassan, Karnataka",13.0033234,76.1003894,Manual
"Hubli-Dharwad, Karnataka",15.3647083,75.1239547,Manual
"Hubli-Dharwad, Karnataka",15.3647083,75.1239547,Manual
"Karwar, Karnataka",14.8184812,74.1416127,Manual
"Kolar, Karnataka",13.1362143,78.1290986,Manual
"Mandya, Karnataka",12.5218157,76.8951488,Manual
"Mangalore, Karnataka",12.9141417,74.8559568,Manual
"Mysore, Karnataka",12.2958104,76.6393805,Manual
"Mysore, Karnataka",12.2958104,76.6393805,Manual
"Raichur, Karnataka",16.216018,77.3565608,Manual
"Shimaga , Karnataka",13.9299299,75.568101,Manual
"Tumkuru, Karnataka",13.3378762,77.117325,Manual
"Alappuzha, Kerala",9.4980667,76.3388484,Manual
"Alappuzha, Kerala",9.4980667,76.3388484,Manual
"Kochi, Kerala",9.9312328,76.2673041,Manual
"Kochi, Kerala",9.9312328,76.2673041,Manual
"Kochi, Kerala",9.9312328,76.2673041,Manual
"Kochi, Kerala",9.9312328,76.2673041,Manual
"Kochi, Kerala",9.9312328,76.2673041,Manual
"Kochi, Kerala",9.9312328,76.2673041,Manual
"Kochi, Kerala",9.9312328,76.2673041,Manual
"Kochi, Kerala",9.9312328,76.2673041,Manual
"Kollam, Kerala",8.8932118,76.6141396,Manual
"Kollam, Kerala",8.8932118,76.6141396,Manual
"Kottayam, Kerala",9.5915668,76.5221531,Manual
"Kottayam, Kerala",9.5915668,76.5221531,Manual
"Kozhikode, Kerala",11.2587531,75.78041,Manual
"Kozhikode, Kerala",11.2587531,75.78041,Manual
"Mallapuram, Kerala",11.1111928,76.1783739,Manual
"Mallapuram, Kerala",11.1111928,76.1783739,Manual
"Palakkad, Kerala",10.7867303,76.6547932,Manual
"Pathanamthitta, Kerala",9.2647582,76.7870414,Manual
"Thiruvalla, Kerala",9.3852725,76.5749856,Manual
"Thiruvanantapuram, Kerala",8.5241391,76.9366376,Manual
"Thiruvanantapuram, Kerala",8.5241391,76.9366376,Manual
"Thiruvanantapuram, Kerala",8.5241391,76.9366376,Manual
"Thiruvanantapuram, Kerala",8.5241391,76.9366376,Manual
"Thrissur, Kerala",10.5276416,76.2144349,Manual
"Thrissur, Kerala",10.5276416,76.2144349,Manual
"Wayanad, Kerala",11.6853575,76.1319953,Manual
"Wayanad, Kerala",11.6853575,76.1319953,Manual
"Kavaratti, Lakshadweep",10.5593204,72.6358134,Manual
"Amlai, Madhya Pradesh",23.1987518,81.5870604,Manual
"Amlai, Madhya Pradesh",23.1987518,81.5870604,Manual
"Bhopal, Madhya Pradesh",23.2599333,77.412615,Manual
"Bhopal, Madhya Pradesh",23.2599333,77.412615,Manual
"Bhopal, Madhya Pradesh",23.2599333,77.412615,Manual
"Bhopal, Madhya Pradesh",23.2599333,77.412615,Manual
"Bhopal, Madhya Pradesh",23.2599333,77.412615,Manual
"Bhopal, Madhya Pradesh",23.2599333,77.412615,Manual
"Bhopal, Madhya Pradesh",23.2599333,77.412615,Manual
"Bhopal, Madhya Pradesh",23.2599333,77.412615,Manual
"Chindwara, Madhya Pradesh",22.057437,78.9381729,Manual
"Chindwara, Madhya Pradesh",22.057437,78.9381729,Manual
"Dewas, Madhya Pradesh",22.9675929,76.0534454,Manual
"Dewas, Madhya Pradesh",22.9675929,76.0534454,Manual
"Dewas, Madhya Pradesh",22.9675929,76.0534454,Manual
"Gwalior, Madhya Pradesh",26.2124007,78.1772053,Manual
"Gwalior, Madhya Pradesh",26.2124007,78.1772053,Manual
"Gwalior, Madhya Pradesh",26.2124007,78.1772053,Manual
"Indore, Madhya Pradesh",22.7195687,75.8577258,Manual
"Indore, Madhya Pradesh",22.7195687,75.8577258,Manual
"Indore, Madhya Pradesh",22.7195687,75.8577258,Manual
"Jabalpur, Madhya Pradesh",23.181467,79.9864071,Manual
"Jabalpur, Madhya Pradesh",23.181467,79.9864071,Manual
"Katni, Madhya Pradesh",23.8343441,80.3893814,Manual
"Katni, Madhya Pradesh",23.8343441,80.3893814,Manual
"Nagda, Madhya Pradesh",23.4561435,75.4226665,Manual
"Nagda, Madhya Pradesh",23.4561435,75.4226665,Manual
"Nagda, Madhya Pradesh",23.4561435,75.4226665,Manual
"Pithampur, Madhya Pradesh",22.611121,75.6772689,Manual
"Pithampur, Madhya Pradesh",22.611121,75.6772689,Manual
"Rewa, Madhya Pradesh",24.5362477,81.3036946,Manual
"Sagar, Madhya Pradesh",23.838805,78.7378068,Manual
"Sagar, Madhya Pradesh",23.838805,78.7378068,Manual
"Satna, Madhya Pradesh",24.6005075,80.8322428,Manual
"Satna, Madhya Pradesh",24.6005075,80.8322428,Manual
"Singrauli, Madhya Pradesh",24.2431529,82.4752757,Manual
"Singrauli, Madhya Pradesh",24.2431529,82.4752757,Manual
"Singrauli, Madhya Pradesh",24.2431529,82.4752757,Manual
"Ujjain, Madhya Pradesh",23.1764665,75.7885163,Manual
"Ujjain, Madhya Pradesh",23.1764665,75.7885163,Manual
"Ujjain, Madhya Pradesh",23.1764665,75.7885163,Manual
"Ujjain, Madhya Pradesh",23.1764665,75.7885163,Manual
"Akola, Maharashtra",20.7002159,77.0081678,Manual
"Akola, Maharashtra",20.7002159,77.0081678,Manual
"Akola, Maharashtra",20.7002159,77.0081678,Manual
"Ambernath, Maharashtra",19.1825167,73.1926023,Manual
"Amravati, Maharashtra",20.9319821,77.7523039,Manual
"Amravati, Maharashtra",20.9319821,77.7523039,Manual
"Amravati, Maharashtra",20.9319821,77.7523039,Manual
"Aurangabad, Maharashtra",19.8761653,75.3433139,Manual
"Aurangabad, Maharashtra",19.8761653,75.3433139,Manual
"Aurangabad, Maharashtra",19.8761653,75.3433139,Manual
"Aurangabad, Maharashtra",19.8761653,75.3433139,Manual
"Badlapur, Maharashtra",19.1667854,73.2367896,Manual
"Bhiwandi, Maharashtra",19.2812547,73.0482912,Manual
"Bhiwandi, Maharashtra",19.2812547,73.0482912,Manual
"Bhiwandi, Maharashtra",19.2812547,73.0482912,Manual
"Chandrapur, Maharashtra",19.9615398,79.2961468,Manual
"Chandrapur, Maharashtra",19.9615398,79.2961468,Manual
"Chandrapur, Maharashtra",19.9615398,79.2961468,Manual
"Chandrapur, Maharashtra",19.9615398,79.2961468,Manual
"Chandrapur, Maharashtra",19.9615398,79.2961468,Manual
"Chandrapur, Maharashtra",19.9615398,79.2961468,Manual
"Dombivali , Maharashtra",19.2094006,73.0939483,Manual
"Jalgaon, Maharashtra",21.0076578,75.5626039,Manual
"Jalgaon, Maharashtra",21.0076578,75.5626039,Manual
"Jalgaon, Maharashtra",21.0076578,75.5626039,Manual
"Jalna, Maharashtra",19.8346659,75.8816345,Manual
"Jalna, Maharashtra",19.8346659,75.8816345,Manual
"Kolhapur, Maharashtra",16.7049873,74.2432527,Manual
"Kolhapur, Maharashtra",16.7049873,74.2432527,Manual
"Kolhapur, Maharashtra",16.7049873,74.2432527,Manual
"Latur, Maharashtra",18.4087934,76.5603828,Manual
"Latur, Maharashtra",18.4087934,76.5603828,Manual
"Latur, Maharashtra",18.4087934,76.5603828,Manual
"Lote, Maharashtra",17.5888833,73.5093474,Manual
"Lote, Maharashtra",17.5888833,73.5093474,Manual
"Mahad, Maharashtra",18.0820208,73.422441,Manual
"Mahad, Maharashtra",18.0820208,73.422441,Manual
"Mahad, Maharashtra",18.0820208,73.422441,Manual
"Mumbai, Maharashtra",19.0759837,72.8776559,Manual
"Mumbai, Maharashtra",19.0759837,72.8776559,Manual
"Mumbai, Maharashtra",19.0759837,72.8776559,Manual
"Nagpur, Maharashtra",21.1458004,79.0881546,Manual
"Nagpur, Maharashtra",21.1458004,79.0881546,Manual
"Nagpur, Maharashtra",21.1458004,79.0881546,Manual
"Nagpur, Maharashtra",21.1458004,79.0881546,Manual
"Nagpur, Maharashtra",21.1458004,79.0881546,Manual
"Nagpur, Maharashtra",21.1458004,79.0881546,Manual
"Nagpur, Maharashtra",21.1458004,79.0881546,Manual
"Nanded, Maharashtra",19.1382514,77.3209555,Manual
"Nanded, Maharashtra",19.1382514,77.3209555,Manual
"Nanded, Maharashtra",19.1382514,77.3209555,Manual
"Nashik, Maharashtra",19.9974533,73.7898023,Manual
"Nashik, Maharashtra",19.9974533,73.7898023,Manual
"Nashik, Maharashtra",19.9974533,73.7898023,Manual
"Nashik, Maharashtra",19.9974533,73.7898023,Manual
"Navi Mumbai, Maharashtra",19.0330488,73.0296625,Manual
"Navi Mumbai, Maharashtra",19.0330488,73.0296625,Manual
"Navi Mumbai, Maharashtra",19.0330488,73.0296625,Manual
"Navi Mumbai, Maharashtra",19.0330488,73.0296625,Manual
"Navi Mumbai, Maharashtra",19.0330488,73.0296625,Manual
"Navi Mumbai, Maharashtra",19.0330488,73.0296625,Manual
"Pimpri-Chinchwad, Maharashtra",18.6297811,73.7997094,Manual
"Pune, Maharashtra",18.5204303,73.8567437,Manual
"Pune, Maharashtra",18.5204303,73.8567437,Manual
"Pune, Maharashtra",18.5204303,73.8567437,Manual
"Roha, Maharashtra",18.4389511,73.1167514,Manual
"Roha, Maharashtra",18.4389511,73.1167514,Manual
"Sangli, Maharashtra",16.8523973,74.5814773,Manual
"Sangli, Maharashtra",16.8523973,74.5814773,Manual
"Sangli, Maharashtra",16.8523973,74.5814773,Manual
"Solapur, Maharashtra",17.6599188,75.9063906,Manual
"Solapur, Maharashtra",17.6599188,75.9063906,Manual
"Tarapur, Maharashtra",19.8649145,72.6849984,Manual
"Tarapur, Maharashtra",19.8649145,72.6849984,Manual
"Tarapur, Maharashtra",19.8649145,72.6849984,Manual
"Thane, Maharashtra",19.2183307,72.9780897,Manual
"Thane, Maharashtra",19.2183307,72.9780897,Manual
"Thane, Maharashtra",19.2183307,72.9780897,Manual
"Ulhasnagar, Maharashtra",19.2215115,73.1644628,Manual
"Ulhasnagar, Maharashtra",19.2215115,73.1644628,Manual
"Imphal, Manipur",24.8170111,93.9368439,Manual
"Byraihat, Meghalaya",25.4670308,91.366216,Manual
"Dawki, Meghalaya",25.1840249,92.0248701,Manual
"Khlihriat, Meghalaya",25.3567243,92.3640875,Manual
"Nongstoin, Meghalaya",25.5213094,91.2554112,Manual
"Shillong, Meghalaya",25.5787726,91.8932535,Manual
"Shillong, Meghalaya",25.5787726,91.8932535,Manual
"Shillong, Meghalaya",25.5787726,91.8932535,Manual
"Shillong, Meghalaya",25.5787726,91.8932535,Manual
"Tura, Meghalaya",25.5140712,90.2032141,Manual
"Umaim, Meghalaya",25.6768054,91.9270246,Manual
"Aizwal, Mizoram",23.7307175,92.7173106,Manual
"Aizwal, Mizoram",23.7307175,92.7173106,Manual
"Aizwal, Mizoram",23.7307175,92.7173106,Manual
"Aizwal, Mizoram",23.7307175,92.7173106,Manual
"Aizwal, Mizoram",23.7307175,92.7173106,Manual
"Champhai, Mizoram",23.4565708,93.3281929,Manual
"Champhai, Mizoram",23.4565708,93.3281929,Manual
"Kolasib, Mizoram",24.224565,92.6760251,Manual
"Kolasib, Mizoram",24.224565,92.6760251,Manual
"Lawngtlai, Mizoram",22.5284445,92.8926342,Manual
"Lawngtlai, Mizoram",22.5284445,92.8926342,Manual
"Lunglei, Mizoram",22.8670691,92.7655358,Manual
"Lunglei, Mizoram",22.8670691,92.7655358,Manual
"Mamit, Mizoram",23.9294441,92.4905707,Manual
"Mamit, Mizoram",23.9294441,92.4905707,Manual
"Saiha, Mizoram",22.489734,92.979269,Manual
"Saiha, Mizoram",22.489734,92.979269,Manual
"Serchhip, Mizoram",23.3416578,92.8502302,Manual
"Serchhip, Mizoram",23.3416578,92.8502302,Manual
"Dimapur, Nagaland",25.9091406,93.7265605,Manual
"Dimapur, Nagaland",25.9091406,93.7265605,Manual
"Dimapur, Nagaland",25.9091406,93.7265605,Manual
"Dimapur, Nagaland",25.9091406,93.7265605,Manual
"Dimapur, Nagaland",25.9091406,93.7265605,Manual
"Dimapur, Nagaland",25.9091406,93.7265605,Manual
"Dimapur, Nagaland",25.9091406,93.7265605,Manual
"Kohima, Nagaland",25.6751129,94.1085998,Manual
"Kohima, Nagaland",25.6751129,94.1085998,Manual
"Angul, Odisha",20.8444033,85.1510818,Manual
"Angul, Odisha",20.8444033,85.1510818,Manual
"Balasore, Odisha",21.4933578,86.9134794,Manual
"Balasore, Odisha",21.4933578,86.9134794,Manual
"Balasore, Odisha",21.4933578,86.9134794,Manual
"Berhampur, Odisha",19.3149618,84.7940911,Manual
"Bhubaneshwar, Odisha",20.2960587,85.8245398,Manual
"Bhubaneshwar, Odisha",20.2960587,85.8245398,Manual
"Bhubaneshwar, Odisha",20.2960587,85.8245398,Manual
"Bhubaneshwar, Odisha",20.2960587,85.8245398,Manual
"Bhubaneshwar, Odisha",20.2960587,85.8245398,Manual
"Bhubaneshwar, Odisha",20.2960587,85.8245398,Manual
"Bonaigarh, Odisha",21.820617,84.951573,Manual
"Cuttack, Odisha",20.462521,85.8829895,Manual
"Cuttack, Odisha",20.462521,85.8829895,Manual
"Cuttack, Odisha",20.462521,85.8829895,Manual
"Jharsuguda, Odisha",21.8554375,84.0061661,Manual
"Jharsuguda, Odisha",21.8554375,84.0061661,Manual
"Jharsuguda, Odisha",21.8554375,84.0061661,Manual
"Kalinga Nagar, Odisha",20.9763099,86.005141,Manual
"Kalinga Nagar, Odisha",20.9763099,86.005141,Manual
"Kalinga Nagar, Odisha",20.9763099,86.005141,Manual
"Konark, Odisha",19.8920686,86.091184,Manual
"Paradeep, Odisha",20.3165523,86.6113628,Manual
"Paradeep, Odisha",20.3165523,86.6113628,Manual
"Paradeep, Odisha",20.3165523,86.6113628,Manual
"Puri, Odisha",19.8134554,85.8312359,Manual
"Puri, Odisha",19.8134554,85.8312359,Manual
"Rajgangpur, Odisha",22.190196,84.5798623,Manual
"Rayagada, Odisha",19.171209,83.4163226,Manual
"Rayagada, Odisha",19.171209,83.4163226,Manual
"Rourkela, Odisha",22.260423,84.8535844,Manual
"Rourkela, Odisha",22.260423,84.8535844,Manual
"Rourkela, Odisha",22.260423,84.8535844,Manual
"Rourkela, Odisha",22.260423,84.8535844,Manual
"Sambalpur, Odisha",21.4668716,83.9811665,Manual
"Talcher, Odisha",20.9501027,85.216816,Manual
"Talcher, Odisha",20.9501027,85.216816,Manual
"Karaikal, Pondicherry",10.9254398,79.8380056,Manual
"Karaikal, Pondicherry",10.9254398,79.8380056,Manual
"Karaikal, Pondicherry",10.9254398,79.8380056,Manual
"Pondicherry, Pondicherry",11.9415915,79.8083133,Manual
"Pondicherry, Pondicherry",11.9415915,79.8083133,Manual
"Pondicherry, Pondicherry",11.9415915,79.8083133,Manual
"Aligarh , Punjab",30.8140022,75.5123838,Manual
"Amritsar, Punjab",31.6339793,74.8722642,Manual
"Amritsar, Punjab",31.6339793,74.8722642,Manual
"Aspal Khurd , Punjab",30.2080786,75.5655147,Manual
"Batala, Punjab",31.8195248,75.2035876,Manual
"Bara Pind , Punjab",31.115787,75.8170786,Manual
"Bhatinda, Punjab",30.210994,74.9454745,Manual
"Binjon , Punjab",31.2654622,76.0029221,Manual
"Bishanpura , Punjab",30.7482731,76.0555087,Manual
"Changal , Punjab",30.2841039,75.7923778,Manual
"Chowkimann , Punjab",30.817177,75.5713361,Manual
"Dera Baba Nanak, Punjab",32.0321859,75.0304481,Manual
"Dera Bassi, Punjab",30.5886835,76.8470955,Manual
"Dera Bassi, Punjab",30.5886835,76.8470955,Manual
"Fatehpur , Punjab",31.0468414,75.557146,Manual
"Gobindgarh Mandi Gobindgarh, Punjab",30.664228,76.2913905,Manual
"Gobindgarh Mandi Gobindgarh, Punjab",30.664228,76.2913905,Manual
"Gobindgarh Mandi Gobindgarh, Punjab",30.664228,76.2913905,Manual
"Guru Ki Dhab , Punjab",30.4946304,74.8609472,Manual
"Jaito Sarja , Punjab",31.7453299,75.1961229,Manual
"Jalandhar, Punjab",31.3260152,75.5761829,Manual
"Jalandhar, Punjab",31.3260152,75.5761829,Manual
"Jalandhar, Punjab",31.3260152,75.5761829,Manual
"Jalandhar, Punjab",31.3260152,75.5761829,Manual
"Khanna, Punjab",30.7070769,76.2169907,Manual
"Khanna, Punjab",30.7070769,76.2169907,Manual
"Kharaori , Punjab",30.7498676,76.6411094,Manual
"Kotladoom , Punjab",31.6842349,74.7395591,Manual
"Lakho ke Behram , Punjab",30.8258918,74.448899,Manual
"Ludhiana, Punjab",30.900965,75.8572758,Manual
"Ludhiana, Punjab",30.900965,75.8572758,Manual
"Ludhiana, Punjab",30.900965,75.8572758,Manual
"Ludhiana, Punjab",30.900965,75.8572758,Manual
"Mrar Kalan , Punjab",30.5496774,74.6802956,Manual
"Mukandpur , Punjab",31.1284464,75.9434209,Manual
"Mureedke , Punjab",31.8094838,74.253415,Manual
"Naudhrani , Punjab",31.1471305,75.3412179,Manual
"Naya Nangal, Punjab",31.3866405,76.3550457,Manual
"Naya Nangal, Punjab",31.3866405,76.3550457,Manual
"Patiala, Punjab",30.3397809,76.3868797,Manual
"Patiala, Punjab",30.3397809,76.3868797,Manual
"Peer Mohammad , Punjab",31.0650656,75.0465123,Manual
"Poohli , Punjab",30.294724,75.0822857,Manual
"Qila Bharian , Punjab",30.2086519,75.7356953,Manual
"Rakhra , Punjab",30.3727471,76.2580499,Manual
"Rohila , Punjab",31.1471305,75.3412179,Manual
"Subanpur , Punjab",31.466015,75.4075221,Manual
"Tirathpur , Punjab",31.630571,75.0216852,Manual
"Alwar, Rajasthan",27.5529907,76.6345735,Manual
"Alwar, Rajasthan",27.5529907,76.6345735,Manual
"Alwar, Rajasthan",27.5529907,76.6345735,Manual
"Bharatpur, Rajasthan",27.2151863,77.5029996,Manual
"Bharatpur, Rajasthan",27.2151863,77.5029996,Manual
"Bharatpur, Rajasthan",27.2151863,77.5029996,Manual
"Bhiwadi, Rajasthan",28.2014149,76.8275503,Manual
"Bhiwadi, Rajasthan",28.2014149,76.8275503,Manual
"Bhiwadi, Rajasthan",28.2014149,76.8275503,Manual
"Chittorgargh, Rajasthan",24.8829177,74.6229699,Manual
"Chittorgargh, Rajasthan",24.8829177,74.6229699,Manual
"Chittorgargh, Rajasthan",24.8829177,74.6229699,Manual
"Jaipur, Rajasthan",26.9124336,75.7872709,Manual
"Jaipur, Rajasthan",26.9124336,75.7872709,Manual
"Jaipur, Rajasthan",26.9124336,75.7872709,Manual
"Jaipur, Rajasthan",26.9124336,75.7872709,Manual
"Jaipur, Rajasthan",26.9124336,75.7872709,Manual
"Jaipur, Rajasthan",26.9124336,75.7872709,Manual
"Jaipur, Rajasthan",26.9124336,75.7872709,Manual
"Jaipur, Rajasthan",26.9124336,75.7872709,Manual
"Jaipur, Rajasthan",26.9124336,75.7872709,Manual
"Jodhpur, Rajasthan",26.2389469,73.0243094,Manual
"Jodhpur, Rajasthan",26.2389469,73.0243094,Manual
"Jodhpur, Rajasthan",26.2389469,73.0243094,Manual
"Jodhpur, Rajasthan",26.2389469,73.0243094,Manual
"Jodhpur, Rajasthan",26.2389469,73.0243094,Manual
"Jodhpur, Rajasthan",26.2389469,73.0243094,Manual
"Jodhpur, Rajasthan",26.2389469,73.0243094,Manual
"Jodhpur, Rajasthan",26.2389469,73.0243094,Manual
"Jodhpur, Rajasthan",26.2389469,73.0243094,Manual
"Kota, Rajasthan",25.2138156,75.8647527,Manual
"Kota, Rajasthan",25.2138156,75.8647527,Manual
"Kota, Rajasthan",25.2138156,75.8647527,Manual
"Kota, Rajasthan",25.2138156,75.8647527,Manual
"Kota, Rajasthan",25.2138156,75.8647527,Manual
"Kota, Rajasthan",25.2138156,75.8647527,Manual
"Udaipur, Rajasthan",24.585445,73.712479,Manual
"Udaipur, Rajasthan",24.585445,73.712479,Manual
"Udaipur, Rajasthan",24.585445,73.712479,Manual
"Chungthang, Sikkim",27.6039119,88.6464449,Manual
"Gangtok, Sikkim",27.3313512,88.6138113,Manual
"Gangtok, Sikkim",27.3313512,88.6138113,Manual
"Mangan, Sikkim",27.4978787,88.5347783,Manual
"Namchi, Sikkim",27.166996,88.3652122,Manual
"Pelling, Sikkim",27.3197716,88.2400333,Manual
"Rangpo, Sikkim",27.176147,88.5287339,Manual
"Ravangla, Sikkim",27.3065811,88.3639986,Manual
"Singtam, Sikkim",27.1364448,88.3931154,Manual
"Chennai, Tamilnadu",13.0826802,80.2707184,Manual
"Chennai, Tamilnadu",13.0826802,80.2707184,Manual
"Chennai, Tamilnadu",13.0826802,80.2707184,Manual
"Chennai, Tamilnadu",13.0826802,80.2707184,Manual
"Chennai, Tamilnadu",13.0826802,80.2707184,Manual
"Chennai, Tamilnadu",13.0826802,80.2707184,Manual
"Chennai, Tamilnadu",13.0826802,80.2707184,Manual
"Chennai, Tamilnadu",13.0826802,80.2707184,Manual
"Chennai, Tamilnadu",13.0826802,80.2707184,Manual
"Chennai, Tamilnadu",13.0826802,80.2707184,Manual
"Chennai, Tamilnadu",13.0826802,80.2707184,Manual
"Coimbatore, Tamilnadu",11.0168445,76.9558321,Manual
"Coimbatore, Tamilnadu",11.0168445,76.9558321,Manual
"Coimbatore, Tamilnadu",11.0168445,76.9558321,Manual
"Cuddalore, Tamilnadu",11.7480419,79.7713687,Manual
"Cuddalore, Tamilnadu",11.7480419,79.7713687,Manual
"Cuddalore, Tamilnadu",11.7480419,79.7713687,Manual
"Dharmapuri, Tamilnadu",12.1210997,78.1582143,Manual
"Dharmapuri, Tamilnadu",12.1210997,78.1582143,Manual
"Dharmapuri, Tamilnadu",12.1210997,78.1582143,Manual
"Madurai, Tamilnadu",9.9252007,78.1197754,Manual
"Madurai, Tamilnadu",9.9252007,78.1197754,Manual
"Madurai, Tamilnadu",9.9252007,78.1197754,Manual
"Mettur, Tamilnadu",11.7862533,77.8007853,Manual
"Mettur, Tamilnadu",11.7862533,77.8007853,Manual
"Nagercoil, Tamilnadu",8.1832857,77.4118996,Manual
"Nagercoil, Tamilnadu",8.1832857,77.4118996,Manual
"Nagercoil, Tamilnadu",8.1832857,77.4118996,Manual
"Perambalur, Tamilnadu",11.2342104,78.8806852,Manual
"Perambalur, Tamilnadu",11.2342104,78.8806852,Manual
"Perambalur, Tamilnadu",11.2342104,78.8806852,Manual
"Salem, Tamilnadu",11.664325,78.1460142,Manual
"Sivagangai, Tamilnadu",9.8432999,78.4808775,Manual
"Sivagangai, Tamilnadu",9.8432999,78.4808775,Manual
"Sivagangai, Tamilnadu",9.8432999,78.4808775,Manual
"Theni, Tamilnadu",10.0079322,77.4735441,Manual
"Theni, Tamilnadu",10.0079322,77.4735441,Manual
"Theni, Tamilnadu",10.0079322,77.4735441,Manual
"Tiruvannamalai, Tamilnadu",12.2252841,79.0746957,Manual
"Tiruvannamalai, Tamilnadu",12.2252841,79.0746957,Manual
"Tiruvannamalai, Tamilnadu",12.2252841,79.0746957,Manual
"Tiruvarur, Tamilnadu",10.7661312,79.6343691,Manual
"Tiruvarur, Tamilnadu",10.7661312,79.6343691,Manual
"Tiruvarur, Tamilnadu",10.7661312,79.6343691,Manual
"Trichy, Tamilnadu",10.7904833,78.7046725,Manual
"Trichy, Tamilnadu",10.7904833,78.7046725,Manual
"Trichy, Tamilnadu",10.7904833,78.7046725,Manual
"Trichy, Tamilnadu",10.7904833,78.7046725,Manual
"Trichy, Tamilnadu",10.7904833,78.7046725,Manual
"Tuticorin , Tamilnadu",8.7641661,78.1348361,Manual
"Tuticorin , Tamilnadu",8.7641661,78.1348361,Manual
"Tuticorin , Tamilnadu",8.7641661,78.1348361,Manual
"Villupuram, Tamilnadu",11.9401378,79.4861449,Manual
"Villupuram, Tamilnadu",11.9401378,79.4861449,Manual
"Villupuram, Tamilnadu",11.9401378,79.4861449,Manual
