City/Town,State or union territory,Place,Latitude,Longitude,AVERAGE,Exceeding/Not exceeding
Laharpur,Uttar Pradesh,"Laharpur, Uttar Pradesh",27.7101,80.901416,92.88000031,Exceeding
Lakheri,Rajasthan,"Lakheri, Rajasthan",25.66495,76.181272,62.67999954,Exceeding
Lakhisarai,Bihar,"Lakhisarai, Bihar",25.15715,86.0951592,79.28000031,Exceeding
Laksar,Uttarakhand,"Laksar, Uttarakhand",29.75384,78.021482,59.94000015,Exceeding
Lal Gopalganj Nindaura,Uttar Pradesh,"Lal Gopalganj Nindaura, Uttar Pradesh",25.65276,81.6199484,106.6400009,Exceeding
Lalganj,Bihar,"Lalganj, Bihar",25.86396,85.1764491,104.8399994,Exceeding
Lalganj,Uttar Pradesh,"Lalganj, Uttar Pradesh",26.16506,80.9705292,107.3800003,Exceeding
Lalkuan,Uttarakhand,"Lalkuan, Uttarakhand",29.06762,79.5181884,49.25999985,Exceeding
Lalsot,Rajasthan,"Lalsot, Rajasthan",26.56062,76.3281212,63.68000107,Exceeding
Landhaura,Uttarakhand,"Landhaura, Uttarakhand",29.79474,77.9081752,61.36000061,Exceeding
Lar,Uttar Pradesh,"Lar, Uttar Pradesh",26.20465,83.9691346,99.32000122,Exceeding
Limbdi,Gujarat,"Limbdi, Gujarat",22.56876,71.801943,46.87999954,Exceeding
Lohardaga,Jharkhand,"Lohardaga, Jharkhand",23.44093,84.6845216,52.81999969,Exceeding
Lonar,Maharashtra,"Lonar, Maharashtra",19.97578,76.5069107,44.44000015,Exceeding
Longowal,Punjab,"Longowal, Punjab",30.20009,75.6755215,81.23999939,Exceeding
Loni,Uttar Pradesh,"Loni, Uttar Pradesh",28.73335,77.2986264,115.8600006,Exceeding
Losal,Rajasthan,"Losal, Rajasthan",27.39569,74.9267229,61.64000015,Exceeding
Lunawada,Gujarat,"Lunawada, Gujarat",23.13001,73.61087,48.81999969,Exceeding
Madhepura,Bihar,"Madhepura, Bihar",25.92397,86.7946387,80.28000031,Exceeding
Madhubani,Bihar,"Madhubani, Bihar",26.34829,86.0711661,83.4,Exceeding
Madhupur,Jharkhand,"Madhupur, Jharkhand",24.2659,86.6467108,56.77999954,Exceeding
Madhyamgram,West Bengal,"Madhyamgram, West Bengal",22.6924,88.4653367,60.27999878,Exceeding
Maharajganj,Bihar,"Maharajganj, Bihar",26.11121,84.5038658,103.1,Exceeding
Maharajpur,Madhya Pradesh,"Maharajpur, Madhya Pradesh",26.48186,77.9752926,100.3199997,Exceeding
Mahasamund,Chhattisgarh,"Mahasamund, Chhattisgarh",21.11241,82.095962,73.6,Exceeding
Mahemdabad,Gujarat,"Mahemdabad, Gujarat",22.82556,72.7570789,54.95999985,Exceeding
Mahendragarh,Haryana,"Mahendragarh, Haryana",28.27342,76.1401349,79.61999969,Exceeding
Maheshtala,West Bengal,"Maheshtala, West Bengal",22.50559,88.2500038,53.81999969,Exceeding
Mahnar Bazar,Bihar,"Mahnar Bazar, Bihar",25.61411,85.4865371,96.74000092,Exceeding
Mahua Dabra Haripura,Uttarakhand,"Mahua Dabra Haripura, Uttarakhand",29.27503,78.7872876,47.77999954,Exceeding
Mahua Kheraganj,Uttarakhand,"Mahua Kheraganj, Uttarakhand",29.13604,78.9429666,52.22000046,Exceeding
Maihar,Madhya Pradesh,"Maihar, Madhya Pradesh",24.26578,80.7624352,54.97999954,Exceeding
Mainaguri,West Bengal,"Mainaguri, West Bengal",26.57383,88.8214984,53.77999954,Exceeding
Makhdumpur,Bihar,"Makhdumpur, Bihar",25.06557,84.9739521,81.75999908,Exceeding
Makrana,Rajasthan,"Makrana, Rajasthan",27.02856,74.714621,55.61999969,Exceeding
Malaj Khand,Madhya Pradesh,"Malaj Khand, Madhya Pradesh",22.04941,80.7160777,48.54000015,Exceeding
Malda,West Bengal,"Malda, West Bengal",25.01084,88.1410967,64.88000107,Exceeding
Malda,West Bengal,"Malda, West Bengal",25.01084,88.1410967,64.88000107,Exceeding
Malegaon,Maharashtra,"Malegaon, Maharashtra",20.5579,74.5089457,46.62000046,Exceeding
Malerkotla,Punjab,"Malerkotla, Punjab",30.52458,75.8783443,79.21999969,Exceeding
